	GSM3038876_M-17-1.CEL	GSM3038877_M-17-2.CEL	GSM3038878_M-17-3.CEL	GSM3038879_S-17-1.CEL	GSM3038880_S-17-2.CEL	GSM3038881_C-17-1.CEL	GSM3038882_C-17-2.CEL	GSM3038883_C-17-3.CEL	GSM3038884_M-24-1.CEL	GSM3038885_M-24-2.CEL	GSM3038886_M-24-3.CEL	GSM3038887_S-24-1.CEL	GSM3038888_S-24-2.CEL	GSM3038889_S-24-3.CEL	GSM3038890_C-24-1.CEL	GSM3038891_C-24-2.CEL	GSM3038892_C-24-3.CEL	GSM3038893_M-49-1.CEL	GSM3038894_M-49-2.CEL	GSM3038895_M-49-3.CEL	GSM3038896_S-49-1.CEL	GSM3038897_S-49-2.CEL	GSM3038898_S-49-3.CEL	GSM3038899_C-49-1.CEL	GSM3038900_C-49-2.CEL	GSM3038901_C-49-3.CEL
Solyc11g012510.1	5.762735325	5.517366406	5.057696722	4.051500744	5.68723092	7.390931488	7.491653591	5.511020415	6.417897275	6.369614382	5.823688602	5.954012316	6.49013051	5.836655844	7.219862503	4.536560607	6.041528844	6.281241529	6.356533554	6.478697214	7.126982183	6.746450051	7.738070307	6.395092341	6.58882552	5.748587171
Solyc11g012730.1	5.548648929	6.030232848	5.92726948	5.831802024	6.251310742	5.875388323	5.937736224	6.294851857	5.853882637	6.157333459	6.126489406	6.036338041	6.186833299	6.152506106	5.989734183	6.356639908	6.296185267	5.961928619	6.10709106	6.289486439	5.940714819	6.148456779	6.142461815	5.51048246	5.644655653	5.864305322
Solyc11g012790.1	6.564797073	6.424782619	6.018880758	5.354241094	6.442284312	7.116822065	7.75261228	6.708650742	7.819511116	7.368372905	6.636958139	6.634201271	6.531693831	7.298072746	7.81445156	5.076173211	6.507881699	7.370775305	6.693892061	6.486921483	6.66477051	6.898634951	7.269034811	6.82686551	7.010434129	7.423958533
Solyc11g012810.1	5.577892014	5.289865319	4.658184716	5.34065306	5.024632687	5.980844648	5.930122378	4.726848206	6.456099438	5.916670688	5.308564607	4.921057107	5.224856946	5.670827029	5.968771405	5.103042674	5.14218067	6.031135874	5.231081605	4.624497682	5.29670223	5.53444628	6.288523735	5.870459129	6.077626096	5.162374419
Solyc11g012820.1	6.402686723	6.086240836	5.500719888	5.748130219	6.015326557	6.636111743	6.687042872	5.590602129	6.972571467	6.493916851	6.149756044	5.837637481	6.117452555	6.483108625	6.721778181	5.438254827	5.748673332	6.921274325	6.103688035	5.519004167	6.166196191	6.41491825	6.90667267	6.669327461	6.855718927	6.150370173
Solyc11g012830.1	8.437434704	9.230773298	8.895539716	9.24684969	8.90915849	9.079905651	9.051224108	9.021617636	9.043938119	8.790737015	9.095983978	8.839435832	9.124065499	8.85231606	8.915323609	9.545661578	9.25376251	8.985203826	9.152136522	8.993406492	8.96531384	8.977829705	8.508238721	8.483251333	8.57424944	9.058011213
Solyc11g012840.1	8.968217461	9.436183357	9.503068203	9.281893021	9.272741294	9.590043155	9.952121418	9.843902672	9.813488005	9.038480114	9.239071414	8.649286164	9.588527191	9.240247422	9.674209439	9.853036833	10.0578204	9.745362146	10.1110827	8.975952806	9.115578814	9.179460313	8.8148666	9.361672338	9.755399516	9.486344141
Solyc11g012850.1	2.693256908	2.601373216	2.654125736	3.189525163	2.732400422	2.940922451	3.136510227	3.523824361	2.879092696	2.63325691	3.015755952	2.692382073	2.682037259	2.508395047	3.027012874	2.885898589	2.90823207	2.753051471	2.811555508	2.969461758	2.518129688	2.714675459	2.594077551	2.872623667	3.021072748	2.943599393
Solyc11g012860.1	7.406107727	5.909427143	6.785584047	7.209431509	6.262584366	7.008018069	5.858629752	6.557295435	6.234273132	6.823895668	6.653183062	6.333085841	6.736065872	6.387669502	5.337443425	6.157915382	5.715658209	6.983841151	7.415245737	6.263236974	6.663718154	6.883175551	6.334913682	7.00541098	7.224460861	6.24090488
Solyc11g012910.1	6.059614465	5.197850294	4.185891997	4.871815174	4.9093481	6.141299202	5.440244918	4.447356359	5.382672026	6.157612606	5.91350806	5.877182388	5.644675979	5.684564449	5.675978201	4.464602561	5.62472182	6.294436985	5.333813298	5.060302554	5.943227352	6.086710929	5.95250414	5.741631478	5.713359849	5.554908439
Solyc11g012930.1	12.25133065	11.58438013	10.64591157	11.46948648	10.50416201	11.19268343	9.425433793	10.07780243	10.80430022	10.41501916	11.52540132	11.52638731	9.809673606	10.56530648	9.521462146	10.02199505	10.76630136	11.37597856	10.38777504	9.992425709	10.45413596	11.03045212	10.10317056	12.69474158	12.51700852	11.71122096
Solyc11g012940.1	6.483246158	5.816754404	5.635861104	5.632083758	6.211784353	6.248291353	6.035553609	5.318596015	5.707864835	6.328647426	6.265181409	6.375676455	6.363293939	6.163470357	5.920940808	5.280271035	5.89856785	6.41411529	6.341086489	5.706115649	6.090876281	6.42690348	6.382755347	6.254405653	6.313073736	5.956904123
Solyc11g012960.1	5.308689665	4.455337459	4.34243224	4.577777227	4.567951599	5.126019404	5.841097452	4.354323661	4.821078951	5.145426199	4.669268311	4.756660319	5.13950441	4.822544793	5.764054914	4.876769559	4.673317472	6.120998131	4.880701022	4.443307314	4.837756695	5.098695058	5.586917646	5.968694635	5.831053265	4.871940944
Solyc11g012970.1	5.308689665	4.455337459	4.34243224	4.577777227	4.567951599	5.126019404	5.841097452	4.354323661	4.821078951	5.145426199	4.669268311	4.756660319	5.13950441	4.822544793	5.764054914	4.876769559	4.673317472	6.120998131	4.880701022	4.443307314	4.837756695	5.098695058	5.586917646	5.968694635	5.831053265	4.871940944
Solyc11g013020.1	7.468595855	7.452758331	5.581790889	6.800572225	6.06108153	7.712370946	7.940879745	5.719136426	6.4838494	6.91295701	7.395770147	7.140624018	7.713804984	6.319230398	7.904864478	7.154422077	7.750340787	7.679355839	6.414947252	6.788658138	7.356838304	7.393648394	7.524402607	7.532809902	6.607616299	7.323147316
Solyc11g013080.1	6.098384024	5.597114649	5.544516419	5.83421435	4.667965212	5.876819456	5.869295233	5.424589264	4.974389362	5.108669397	5.876801745	5.667929225	6.292567285	4.523649319	5.410102899	5.982095087	6.26748335	5.860533439	5.570853132	5.543069358	5.591143981	5.778698489	5.598207499	5.994138035	5.943015409	5.592646368
