	GSM2857543_M-17-1.CEL	GSM2857544_M-17-2.CEL	GSM2857545_M-17-3.CEL	GSM2857546_S-17-1.CEL	GSM2857547_S-17-2.CEL	GSM2857548_S-17-3.CEL	GSM2857549_C-17-1.CEL	GSM2857550_C-17-2.CEL	GSM2857551_C-17-3.CEL	GSM2857552_M-24-1.CEL	GSM2857553_M-24-2.CEL	GSM2857554_M-24-3.CEL	GSM2857555_S-24-1.CEL	GSM2857556_S-24-2.CEL	GSM2857557_S-24-3.CEL	GSM2857558_C-24-1.CEL	GSM2857559_C-24-2.CEL	GSM2857560_C-24-3.CEL	GSM2857561_M-49-1.CEL	GSM2857562_M-49-2.CEL	GSM2857563_M-49-3.CEL	GSM2857564_S-49-1.CEL	GSM2857565_S-49-2.CEL	GSM2857566_S-49-3.CEL	GSM2857567_C-49-1.CEL	GSM2857568_C-49-2.CEL	GSM2857569_C-49-3.CEL
Solyc01g098550.2	7.63607686	7.858592144	6.91198614	5.799131755	5.882260221	7.218463737	7.558268014	7.017278413	7.156525171	7.03131884	7.108131914	5.633111433	7.491201344	6.185671252	6.149339245	6.632871077	7.571956817	6.857790393	5.50297318	5.828511088	6.363838652	4.920896178	5.443936343	5.832035479	6.879972675	6.910472723	5.226710048
Solyc01g098590.2	7.345857353	7.548496278	7.92541703	8.217884529	8.41478966	8.189492582	6.217972723	6.599853452	6.530833212	9.267471137	9.421792571	9.0008206	8.733321493	9.200792164	9.154057138	7.884060444	7.551173433	7.456263654	8.325514187	9.398201673	9.463254884	8.92536721	8.769619109	9.664373587	6.549084817	6.522389273	10.2037687
Solyc01g098600.2	7.473810732	7.431735167	7.845784148	8.856052946	7.915136089	7.515318885	7.368537635	7.910634607	8.174874613	7.606126112	7.705092174	8.6630616	6.858804818	7.169874414	8.319474607	8.349961853	7.46104528	7.942894526	8.950527759	8.829213276	8.348733201	8.174304362	8.524499508	8.139883295	7.954734991	7.698792608	8.618485187
Solyc01g098610.2	9.870013198	9.899215967	9.843922615	10.6538578	10.54627585	10.19978933	9.573114957	9.708670959	9.886602852	10.23383289	10.18412181	10.08103703	9.463610824	9.753193386	10.0973837	10.04952556	10.00282142	10.03440838	9.655933636	9.866037808	9.635396845	9.981345097	9.60422871	9.861016613	9.231316882	9.445990032	10.55475671
Solyc01g098640.2	7.734654789	7.796696485	7.718934865	7.447746074	7.330980943	7.511209896	7.737490397	7.909058059	7.895787473	7.506857072	7.412134389	7.590526281	6.749630432	6.315635272	6.714510115	7.316466294	7.483374855	7.562609518	7.412768923	6.741720788	6.872765024	5.599364339	6.427506246	5.941962698	7.559653899	7.540362821	6.659428907
Solyc01g098650.2	4.647459154	4.69430197	4.991216107	6.501759803	5.901827082	4.942703653	4.64317777	4.962082648	5.105614463	4.844218154	4.729708199	6.165618441	4.191282205	3.90785163	5.035584654	4.740179474	4.71955017	4.902974222	5.669392403	5.331786332	4.774610791	4.800648407	5.18305419	4.38332327	4.709411587	4.471026921	5.195595719
Solyc01g098700.2	8.101179348	8.09793031	8.045741475	8.218150239	8.627119776	8.205420281	7.800709373	8.055456781	8.042818627	7.97542029	7.991777146	7.762152679	7.26599104	7.840533049	8.003883014	7.905945227	8.064731618	7.830976766	7.689954592	8.037719598	7.710479524	8.18442377	7.865354121	7.847224336	7.423528779	7.606718107	7.69420314
Solyc01g098730.2	7.356682252	7.71777884	7.99201041	7.686241752	8.419321198	7.864149368	7.267851566	7.592871049	7.301634117	7.927055245	7.78422827	8.155840193	7.144137375	8.023017008	7.522798361	7.736675243	7.543449268	7.493056141	7.949656614	7.659305006	7.909805323	8.544766073	8.097707014	8.245776714	7.320713576	7.549140126	8.292330587
Solyc01g098740.2	8.816002018	8.545971809	8.67280787	9.911099951	8.948710049	8.712485159	8.680228429	8.664218276	8.656905358	8.113467725	8.337214236	8.943730329	6.960638058	7.028195635	8.986355458	8.749899077	8.376587127	8.595555604	9.14288309	8.181067646	7.722008266	5.528804558	7.614398235	6.998527514	8.062509191	7.763454914	8.634345193
Solyc01g098780.2	8.983049787	9.104288671	9.186669584	8.755439619	9.341476291	9.455934391	8.964249274	8.984720985	9.054770691	9.037816079	9.074569004	8.892050586	9.569688519	9.506864434	9.057063093	8.74256427	8.887718802	8.839634938	8.969334684	8.981682084	9.006734147	8.877782067	9.030829529	9.294968742	9.120233422	8.995069588	8.488422229
